City_ID,City,Country,Max Temp,weather description,Lat,Lng,Hotel Name
0,Neuquen,AR,51.69,light rain,-38.9516,-68.0591,Hotel del Comahue
3,Castro,BR,59.0,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
4,Bengkulu,ID,75.02,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
5,Thompson,CA,59.16,overcast clouds,55.7435,-97.8558,Burntwood Hotel
7,Nikolskoye,RU,67.91,few clouds,59.7035,30.7861,Tourist House - Sablino
8,Shelburne,CA,80.11,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
9,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
10,Helong,CN,66.27,broken clouds,42.5397,128.9972,Helong Hotel
11,Esperance,AU,55.56,broken clouds,-33.8667,121.9,Hospitality Esperance
13,Omoljica,RS,75.42,clear sky,44.7606,20.7281,Dalibor
14,Hobart,AU,52.27,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
15,Saldanha,ZA,53.65,light rain,-33.0117,17.9442,Blue Bay Lodge
17,Rikitea,PF,72.09,overcast clouds,-23.1203,-134.9692,People ThankYou
19,Busselton,AU,59.47,light rain,-33.65,115.3333,Observatory Guest House
20,Yellowknife,CA,70.32,few clouds,62.456,-114.3525,The Explorer Hotel
21,Bejar,ES,69.75,few clouds,40.3864,-5.7634,Posada Puerta Grande
22,Gorontalo,ID,76.89,clear sky,0.5412,123.0595,Maqna Hotel by Prasanthi
24,Richards Bay,ZA,66.15,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
26,Kodiak,US,51.08,broken clouds,57.79,-152.4072,Best Western Kodiak Inn
28,Liverpool,GB,62.62,broken clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
29,Hilo,US,86.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
30,Ribeira Grande,PT,73.65,broken clouds,38.5167,-28.7,Quinta da Meia Eira
31,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Na Klang,TH,74.75,overcast clouds,17.3072,102.1889,สบายดี รีสอร์ท (อ.นากลาง จ.หนองบัวลำภู)
33,Demba,CD,78.37,overcast clouds,-5.51,22.2667,Guest House Du Cinquantenaire
34,Bambous Virieux,MU,66.45,light rain,-20.3428,57.7575,Casa Tia Villa
35,Butaritari,KI,81.37,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
36,Jamestown,US,79.72,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
38,Kibala,TD,73.35,clear sky,9.1104,18.3463,Prasant Hotels
39,Conde,BR,74.66,clear sky,-7.2597,-34.9075,Pousada Beija Flor
40,East London,ZA,66.42,scattered clouds,-33.0153,27.9116,Tu Casa
41,Broome,US,83.07,broken clouds,42.2506,-75.833,Chenango Valley State Park
43,Carnarvon,AU,61.65,clear sky,-24.8667,113.6333,Hospitality Carnarvon
45,Tutoia,BR,80.47,broken clouds,-2.7619,-42.2744,Pousada Guará's
46,Port Alfred,ZA,62.31,overcast clouds,-33.5906,26.891,The Halyards Hotel
47,Kijang,KR,76.73,scattered clouds,35.2442,129.2139,Samyang Beach Villa
48,Sanmenxia,CN,67.24,few clouds,34.7747,111.1814,Pengzhou Hotel
49,Olafsvik,IS,53.78,scattered clouds,64.8945,-23.7142,Hotel Olafsvik
50,Portland,US,80.56,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
51,Kalas,IN,73.33,overcast clouds,18.1667,74.8,Aglave wasti
52,Atuona,PF,77.7,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
53,Fortuna,US,69.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
54,Lata,PT,57.85,clear sky,40.1629,-8.3327,Casa Maquia
