City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vostok,RU,2022-07-14 08:47:19,46.4856,135.8833,67.93,79,100,6.85
1,Hobart,AU,2022-07-14 08:45:46,-42.8794,147.3294,50.05,83,75,4.61
2,Albany,US,2022-07-14 08:45:56,42.6001,-73.9662,64.81,92,54,3.18
3,Fort Nelson,CA,2022-07-14 08:42:59,58.8053,-122.7002,58.59,55,75,8.05
4,Merke,KZ,2022-07-14 08:47:20,42.8728,73.1786,89.62,21,0,10.89
5,Tasiilaq,GL,2022-07-14 08:47:20,65.6145,-37.6368,40.17,73,23,4.16
6,Te Anau,NZ,2022-07-14 08:43:03,-45.4167,167.7167,36.3,97,92,4.29
7,New Norfolk,AU,2022-07-14 08:47:21,-42.7826,147.0587,49.71,86,99,2.35
8,Mataura,NZ,2022-07-14 08:47:21,-46.1927,168.8643,35.47,98,94,1.88
9,Lebu,CL,2022-07-14 08:43:39,-37.6167,-73.65,40.68,87,77,9.6
10,Jamestown,US,2022-07-14 08:45:41,42.097,-79.2353,59.02,85,0,1.01
11,Kaitangata,NZ,2022-07-14 08:47:22,-46.2817,169.8464,42.06,90,97,5.35
12,Ushuaia,AR,2022-07-14 08:47:22,-54.8,-68.3,29.86,80,0,4.61
13,East London,ZA,2022-07-14 08:47:22,-33.0153,27.9116,68.94,37,0,10.36
14,Vila Franca Do Campo,PT,2022-07-14 08:47:23,37.7167,-25.4333,69.19,81,75,10.56
15,Buchanan,LR,2022-07-14 08:47:23,5.8808,-10.0467,75.72,87,100,7.81
16,Novoagansk,RU,2022-07-14 08:47:23,61.9449,76.6625,67.12,51,90,4.12
17,Pemangkat,ID,2022-07-14 08:47:24,1.1667,108.9667,84.4,68,100,7.47
18,Port Lincoln,AU,2022-07-14 08:47:24,-34.7333,135.8667,53.44,76,20,10.67
19,Igrim,RU,2022-07-14 08:47:24,63.1906,64.4162,81.77,49,56,1.81
20,Avarua,CK,2022-07-14 08:47:25,-21.2078,-159.775,73.45,68,100,9.22
21,Yellowknife,CA,2022-07-14 08:45:17,62.456,-114.3525,55.92,100,75,3.44
22,Zyryanka,RU,2022-07-14 08:45:36,65.75,150.85,70.3,54,75,12.59
23,Arman,RU,2022-07-14 08:47:25,59.7,150.1667,80.02,77,56,2.53
24,Ponta Do Sol,PT,2022-07-14 08:47:26,32.6667,-17.1,71.01,73,2,2.15
25,Maningrida,AU,2022-07-14 08:47:26,-12.0667,134.2667,75.07,56,76,9.98
26,Saskylakh,RU,2022-07-14 08:47:26,71.9167,114.0833,51.22,59,100,10.47
27,Qaanaaq,GL,2022-07-14 08:47:27,77.484,-69.3632,41.09,91,100,7.25
28,Mitsamiouli,KM,2022-07-14 08:47:27,-11.3847,43.2844,82.69,65,40,11.5
29,Haian,CN,2022-07-14 08:47:28,32.5436,120.45,96.42,54,79,6.13
30,Cidreira,BR,2022-07-14 08:47:28,-30.1811,-50.2056,56.95,86,88,13.96
31,Rio Bravo,MX,2022-07-14 08:47:28,25.9833,-98.1,81.07,88,30,5.99
32,Kloulklubed,PW,2022-07-14 08:47:29,7.0419,134.2556,82.9,70,78,7.36
33,Broome,US,2022-07-14 08:47:29,42.2506,-75.833,63.18,96,100,9.22
34,Port Macquarie,AU,2022-07-14 08:47:29,-31.4333,152.9167,54.9,80,91,16.42
35,Emba,KZ,2022-07-14 08:47:30,48.8264,58.1442,96.17,18,4,8.88
36,Vaini,TO,2022-07-14 08:47:30,-21.2,-175.2,77.13,82,2,18.45
37,Ketchikan,US,2022-07-14 08:42:01,55.3422,-131.6461,53.58,94,100,6.87
38,Pingliang,CN,2022-07-14 08:47:31,35.5392,106.6861,80.13,72,94,10.11
39,Bilibino,RU,2022-07-14 08:47:31,68.0546,166.4372,57.97,51,32,6.35
40,Rikitea,PF,2022-07-14 08:47:32,-23.1203,-134.9692,69.33,87,100,8.03
41,Meulaboh,ID,2022-07-14 08:43:08,4.1363,96.1285,85.91,68,5,11.65
42,Castro,BR,2022-07-14 08:47:32,-24.7911,-50.0119,53.08,96,100,7.52
43,Ayorou,NE,2022-07-14 08:47:32,14.7308,0.9174,91.94,41,59,12.41
44,Igarka,RU,2022-07-14 08:47:33,67.4667,86.5833,59.59,46,99,4.63
45,Souillac,MU,2022-07-14 08:47:33,-20.5167,57.5167,73.78,68,75,18.41
46,Joshimath,IN,2022-07-14 08:48:33,30.5667,79.5667,76.48,80,84,6.31
47,Russkaya Polyana,UA,2022-07-14 08:48:34,49.417,31.9201,70.21,52,92,15.88
48,Lerwick,GB,2022-07-14 08:48:34,60.1545,-1.1494,53.6,71,79,14.54
49,Punta Arenas,CL,2022-07-14 08:44:29,-53.15,-70.9167,35.71,80,40,12.66
50,Mar Del Plata,AR,2022-07-14 08:48:35,-38.0023,-57.5575,47.08,86,0,15.99
51,Santa Cruz,BO,2022-07-14 08:44:51,-17.8,-63.1667,67.46,83,75,17.27
52,Bluff,NZ,2022-07-14 08:48:35,-46.6,168.3333,35.8,75,62,6.24
53,Buala,SB,2022-07-14 08:48:35,-8.145,159.5921,79.2,75,72,3.29
54,Beloha,MG,2022-07-14 08:48:36,-25.1667,45.05,79.79,34,0,6.11
55,Lakewood,US,2022-07-14 08:44:54,39.7047,-105.0814,76.78,42,72,4.0
56,Hilo,US,2022-07-14 08:48:36,19.7297,-155.09,76.28,94,100,1.99
57,Hasaki,JP,2022-07-14 08:48:37,35.7333,140.8333,73.8,86,99,11.59
58,Newton,US,2022-07-14 08:48:37,42.337,-71.2092,68.05,92,100,5.75
59,Srednekolymsk,RU,2022-07-14 08:48:37,67.45,153.6833,59.23,57,100,11.59
60,Alyangula,AU,2022-07-14 08:48:38,-13.8483,136.4192,68.14,62,29,15.79
61,Port Alfred,ZA,2022-07-14 08:48:38,-33.5906,26.891,63.18,60,85,4.0
62,San Cristobal,VE,2022-07-14 08:44:18,7.7669,-72.225,63.18,94,33,2.26
63,Seymchan,RU,2022-07-14 08:48:39,62.8833,152.4333,72.3,61,98,11.36
64,Butaritari,KI,2022-07-14 08:48:39,3.0707,172.7902,81.48,82,36,17.69
65,Chuy,UY,2022-07-14 08:48:39,-33.6971,-53.4616,52.12,89,79,13.98
66,Puerto Ayora,EC,2022-07-14 08:48:13,-0.7393,-90.3518,69.55,92,98,7.0
67,Labuhan,ID,2022-07-14 08:48:40,-6.8844,112.2051,82.58,75,100,11.99
68,Jaru,BR,2022-07-14 08:48:40,-10.4389,-62.4664,68.54,68,83,0.89
69,Walvis Bay,NA,2022-07-14 08:48:41,-22.9575,14.5053,67.03,46,0,5.19
70,Korla,CN,2022-07-14 08:48:41,41.7597,86.1469,90.48,18,100,17.13
